
AA,Girls 8 & Under,100m IM
BB,Boys 8 & Under,100m IM
1,Girls 9 & 10,100m IM
2,Boys 9 & 10,100m IM
3,Girls 11 & 12,100m IM
4,Boys 11 & 12,100m IM
5,Girls 13 & 14,100m IM
6,Boys 13 & 14,100m IM
7,Girls 15 & Over,200m IM
8,Boys 15 & Over,200m IM
9,Girls Open,200m IM
10,Boys Open,200m IM
11,Girls 6 & Under,25m Free
12,Boys 6 & Under,25m Free
13,Girls 7 & 8,25m Free
14,Boys 7 & 8,25m Free
15,Girls 9 & 10,25m Free
16,Boys 9 & 10,25m Free
17,Girls 11 & 12,50m Free
18,Boys 11 & 12,50m Free
19,Girls 13 & 14,50m Free
20,Boys 13 & 14,50m Free
21,Girls 15 & Over,100m Free
22,Boys 15 & Over,100m Free
23,Girls Open,100m Free
24,Boys Open,100m Free
25,Girls 6 & Under,25m Back
26,Boys 6 & Under,25m Back
27,Girls 7 & 8,25m Back
28,Boys 7 & 8,25m Back
29,Girls 9 & 10,25m Back
30,Boys 9 & 10,25m Back
31,Girls 11 & 12,50m Back
32,Boys 11 & 12,50m Back
33,Girls 13 & 14,50m Back
34,Boys 13 & 14,50m Back
35,Girls 15 & Over,100m Back
36,Boys 15 & Over,100m Back
37,Girls Open,100m Back
38,Boys Open,100m Back
39,Girls 6 & Under,25m Fly
40,Boys 6 & Under,25m Fly
41,Girls 7 & 8,25m Fly
42,Boys 7 & 8,25m Fly
43,Girls 9 & 10,25m Fly
44,Boys 9 & 10,25m Fly
45,Girls 11 & 12,50m Fly
46,Boys 11 & 12,50m Fly
47,Girls 13 & 14,50m Fly
48,Boys 13 & 14,50m Fly
49,Girls 15 & Over,100m Fly
50,Boys 15 & Over,100m Fly
51,Girls Open,100m Fly
52,Boys Open,100m Fly
53,Girls 6 & Under,25m Breast
54,Boys 6 & Under,25m Breast
55,Girls 7 & 8,25m Breast
56,Boys 7 & 8,25m Breast
57,Girls 9 & 10,25m Breast
58,Boys 9 & 10,25m Breast
59,Girls 11 & 12,50m Breast
60,Boys 11 & 12,50m Breast
61,Girls 13 & 14,50m Breast
62,Boys 13 & 14,50m Breast
63,Girls 15 & Over,100m Breast
64,Boys 15 & Over,100m Breast
65,Girls Open,100m Breast
66,Boys Open,100m Breast
67,Girls 8 & Under,100m Free Relay
68,Boys 8 & Under,100m Free Relay
69,Girls 9 & 10,100m Free Relay
70,Boys 9 & 10,100m Free Relay
71,Girls 11 & 12,100m Free Relay
72,Boys 11 & 12,100m Free Relay
73,Girls 13 & 14,200m Free Relay
74,Boys 13 & 14,200m Free Relay
75,Girls 15 & Over,200m Free Relay
76,Boys 15 & Over,200m Free Relay
77,Girls 8 & Under,100m Medley Relay
78,Boys 8 & Under,100m Medley Relay
79,Girls 9 & 10,100m Medley Relay
80,Boys 9 & 10,100m Medley Relay
81,Girls 11 & 12,100m Medley Relay
82,Boys 11 & 12,100m Medley Relay
83,Girls 13 & 14,200m Medley Relay
84,Boys 13 & 14,200m Medley Relay
85,Girls 15 & Over,200m Medley Relay
86,Boys 15 & Over,200m Medley Relay
